fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:13:31,39de43,TVF35DL,France,50.1872,11.3291,37500.0,693.5,193.0,CRUISE,1000
2026-06-14 16:13:31,4bc8c3,PGT77PX,Turkey,49.5485,8.8193,35025.0,967.6,65.0,CRUISE,0101
2026-06-14 16:13:31,511170,MBU2QV,Estonia,51.2657,11.9361,11400.0,559.6,1152.0,CLIMBING,1000
2026-06-14 16:13:31,44029f,AUA21E,Austria,50.2385,11.943,30450.0,682.3,-961.0,DESCENDING,1000
2026-06-14 16:13:31,4acb23,NSZ3747,Sweden,52.8401,11.4519,38550.0,829.8,-961.0,DESCENDING,7362
2026-06-14 16:13:31,3c5ef0,EWG7XR,Germany,50.75,7.393,11925.0,686.3,3008.0,CLIMBING,7705
2026-06-14 16:13:31,50040a,EJO1X,,47.451,11.8778,43000.0,795.1,0.0,CRUISE,3555
2026-06-14 16:13:31,46b821,AEE510,Greece,48.2684,11.2498,26125.0,667.5,-1024.0,DESCENDING,7425
2026-06-14 16:13:31,46b823,AEE6TH,Greece,47.8085,11.3783,36025.0,739.9,0.0,CRUISE,1000
2026-06-14 16:13:31,4acb5a,SAS2697,Sweden,47.9938,11.8151,36000.0,847.3,-256.0,CRUISE,0766
2026-06-14 16:13:31,3ffbb1,DMEBC,Germany,48.0558,9.3679,1725.0,0.0,-65.0,LOW ALT,
2026-06-14 16:13:31,4aca84,NSZ2940,Sweden,51.6653,12.7167,38000.0,853.2,65.0,CRUISE,6001
2026-06-14 16:13:31,4aca86,NSZ5352,Sweden,48.1159,10.1551,36000.0,854.0,0.0,CRUISE,1000
2026-06-14 16:13:31,4aca90,NOZ72C,Sweden,50.5583,11.4527,39000.0,892.3,0.0,CRUISE,0751
2026-06-14 16:13:31,3d385c,DETPC,Germany,51.0231,8.7885,10000.0,354.9,0.0,CRUISE,5012
2026-06-14 16:13:31,3d254e,DEMJM,Germany,48.4021,7.8576,1900.0,211.2,1152.0,CLIMBING,
2026-06-14 16:13:31,471f6b,WZZ93,Hungary,48.867,9.6942,35000.0,766.4,0.0,CRUISE,1000
2026-06-14 16:13:31,3945bc,FJBIJ,France,48.0856,7.7552,2250.0,182.2,0.0,LOW ALT,
2026-06-14 16:13:31,407b54,WUK735,United Kingdom,51.4123,9.0371,36000.0,685.8,0.0,CRUISE,0624
2026-06-14 16:13:31,505ceb,TOM5762,Slovakia,49.0379,8.6402,37000.0,955.3,0.0,CRUISE,3457
2026-06-14 16:13:31,47a039,NOZ57GW,Norway,48.8253,11.9691,18925.0,758.1,2624.0,CLIMBING,6443
2026-06-14 16:13:31,407b8b,WUK2UC,United Kingdom,51.4204,14.8093,36000.0,746.7,0.0,CRUISE,3553
2026-06-14 16:13:31,4aca0c,NSZ4BV,Sweden,49.941,9.5596,36000.0,795.0,65.0,CRUISE,1000
2026-06-14 16:13:31,4aca72,SAS1793,Sweden,50.0882,8.8152,35000.0,835.2,65.0,CRUISE,0757
2026-06-14 16:13:31,4aca4f,NSZ4357,Sweden,52.0218,13.7182,37000.0,903.6,-65.0,CRUISE,1000
2026-06-14 16:13:31,3d2491,DEMCF,Germany,49.2901,8.4577,300.0,107.4,-65.0,LOW ALT,7000
2026-06-14 16:13:31,4bc855,PGT56HD,Turkey,49.9748,8.5284,1600.0,358.2,1280.0,CLIMBING,7707
